QUESTION,ANSWER_CHOICES,ANSWERS,EXPLANATIONS
Which of the following are good use cases for how Amazon ElastiCache can help an application? (Select TWO),"[""Improve the performance of S3 PUT operations."", ""Improve the latency of deployments performed by AWS CodeDeploy."", ""Improve latency and throughput for read-heavy application workloads."", ""Reduce the time required to merge AWS CodeCommit branches."", ""Improve performance of compute-intensive applications.""]","[""Improve latency and throughput for read-heavy application workloads."", ""Improve performance of compute-intensive applications.""]","```json
{
    ""Improve the performance of S3 PUT operations."": ""This choice is incorrect. Amazon ElastiCache is primarily used to improve the performance of read-heavy application workloads by caching frequently accessed data. It does not directly interact with Amazon S3 operations like PUT requests, which are related to object storage rather than data caching."",
    ""Improve the latency of deployments performed by AWS CodeDeploy."": ""This choice is incorrect. AWS CodeDeploy is a service that automates code deployments to any instance, including Amazon EC2 instances and on-premises servers. ElastiCache does not play a role in deployment processes or improve the latency of deployments, as it is not involved in code deployment workflows."",
    ""Improve latency and throughput for read-heavy application workloads."": ""This choice is correct. Amazon ElastiCache is designed to improve the performance of applications by caching frequently accessed data, thereby reducing the load on databases and improving latency and throughput for read-heavy workloads. This is a common use case for ElastiCache, particularly with applications that experience high read traffic."",
    ""Reduce the time required to merge AWS CodeCommit branches."": ""This choice is incorrect. AWS CodeCommit is a source control service that hosts Git repositories. The process of merging branches is a function of the version control system and is not related to caching or data retrieval, which is what ElastiCache is used for."",
    ""Improve performance of compute-intensive applications."": ""This choice is incorrect. While ElastiCache can help reduce database load and improve data retrieval times, it is not specifically designed to enhance the performance of compute-intensive applications. Compute-intensive applications typically benefit more from optimized compute resources, such as those provided by Amazon EC2 with appropriate instance types.""
}
```"
Which of the following services are key/value stores? (Choose 3 answers),"[""Amazon ElastiCache."", ""Simple Notification Service."", ""DynamoDB."", ""Simple Workflow Service."", ""Simple Storage Service.""]","[""Amazon ElastiCache."", ""DynamoDB."", ""Simple Storage Service.""]","```json
{
    ""Amazon ElastiCache."": ""Amazon ElastiCache is correct because it supports key/value storage through its Redis and Memcached engines. Both Redis and Memcached are in-memory data stores that use a key/value model, making them suitable for caching and session storage. This service is often used to improve application performance by reducing database load."",
    ""Simple Notification Service."": ""Simple Notification Service (SNS) is incorrect because it is a fully managed messaging service for sending notifications, not a key/value store. SNS is used for pub/sub messaging and sending messages to multiple subscribers, which does not involve storing data in a key/value format."",
    ""DynamoDB."": ""DynamoDB is correct because it is a fully managed NoSQL database service that provides fast and predictable performance with seamless scalability. It uses a key/value and document data model, making it ideal for applications that require low-latency data access at any scale."",
    ""Simple Workflow Service."": ""Simple Workflow Service (SWF) is incorrect because it is a service for building distributed applications as workflows. It is not a data storage service and does not use a key/value model. SWF is used to coordinate tasks across distributed components, not for storing data."",
    ""Simple Storage Service."": ""Simple Storage Service (S3) is correct because it is an object storage service that stores data as objects within buckets. Each object is identified by a unique key, which makes it a key/value store. S3 is often used for storing and retrieving any amount of data, such as backup and archival, big data analytics, and content storage.""
}
```"
A developer wants to send multi-value headers to an AWS Lambda function that is registered as a target with an Application Load Balancer (ALB). What should the developer do to achieve this?,"[""Place the Lambda function and target group in the same account."", ""Send the request body to the Lambda function with a size less than 1 MB 0."", ""Include the Base64 encoding status status code, status description, and headers in the Lambda function."", ""Enable the multi-value headers on the ALB.""]","[""Enable the multi-value headers on the ALB.""]","```json
{
    ""Place the Lambda function and target group in the same account."": ""This choice is incorrect. While it's common to have the Lambda function and target group in the same AWS account for simplicity and access management, it is not a requirement for enabling multi-value headers on an ALB. Multi-value headers are a feature of the ALB itself and do not depend on the account configuration of the Lambda function."",
    ""Send the request body to the Lambda function with a size less than 1 MB 0."": ""This choice is incorrect. The size of the request body is related to the payload size limits when invoking a Lambda function, but it has no direct impact on the ability to send multi-value headers. Multi-value headers are a feature that needs to be explicitly enabled on the ALB, and they allow the ALB to handle multiple headers with the same name, which is unrelated to the request body size."",
    ""Include the Base64 encoding status status code, status description, and headers in the Lambda function."": ""This choice is incorrect. While Base64 encoding might be relevant for handling binary data in Lambda responses, it does not relate to enabling multi-value headers. Multi-value headers are a feature of the ALB that must be enabled on the ALB itself, not configured within the Lambda function."",
    ""Enable the multi-value headers on the ALB."": ""This choice is correct. To send multi-value headers to a Lambda function through an ALB, you must enable the multi-value headers feature on the ALB. This feature allows the ALB to pass multiple headers with the same name to the Lambda function, which is necessary for applications that rely on such headers. This is supported by AWS documentation and is a best practice for handling such scenarios.""
}
```"
"A company's ecommerce website is experiencing massive traffic spikes, which are causing performance problems in the company database. Users are reporting that accessing the website takes a long time. A developer wants to implement a caching layer using Amazon ElastiCache. The website is required to be responsive no matter which product a user views, and the updates to product information and prices must be strongly consistent. Which cache writing policy will satisfy these requirements?","[""Write to the cache directly and sync the backend at a later time."", ""Write to the backend first and wait for the cache to expire."", ""Write to the cache and the backend at the same time."", ""Write to the backend first and invalidate the cache.""]","[""Write to the backend first and invalidate the cache.""]","```json
{
    ""Write to the cache directly and sync the backend at a later time."": ""This approach is incorrect because it does not ensure strong consistency. Writing to the cache first and syncing the backend later can lead to stale data being served to users if the backend update fails or is delayed. This violates the requirement for updates to product information and prices to be strongly consistent."",
    ""Write to the backend first and wait for the cache to expire."": ""This approach is incorrect because it can lead to serving stale data until the cache expires. Although writing to the backend first ensures data consistency, waiting for the cache to expire does not provide immediate consistency in the cache, which is necessary for the requirement of strong consistency."",
    ""Write to the cache and the backend at the same time."": ""This approach is incorrect because it can lead to race conditions and inconsistencies between the cache and backend. If the cache update succeeds but the backend update fails, or vice versa, users might receive inconsistent data. This does not satisfy the requirement for strong consistency."",
    ""Write to the backend first and invalidate the cache."": ""This approach is correct because it ensures strong consistency. By writing to the backend first, the source of truth is updated, and then invalidating the cache ensures that subsequent reads will fetch the updated data from the backend, thus maintaining consistency. This is a common pattern in caching strategies known as 'cache-aside' or 'lazy loading', which is recommended for scenarios where strong consistency is required.""
}
```"
A Developer wants to upload data to Amazon S3 and must encrypt the data in transit. Which of the following solutions will accomplish this task? (Choose TWO),"[""Set up hardware VPN tunnels to a VPC and access S3 through a VPC endpoint."", ""Set up Client-Side Encryption with an AWS KMS-Managed Customer Master Key."", ""Set up Server-Side Encryption with AWS KMS-Managed Keys."", ""Transfer the data over an SSL connection."", ""Set up Server-Side Encryption with S3-Managed Keys.""]","[""Set up Client-Side Encryption with an AWS KMS-Managed Customer Master Key."", ""Transfer the data over an SSL connection.""]","{""Set up hardware VPN tunnels to a VPC and access S3 through a VPC endpoint."": ""Incorrect. While setting up a VPN tunnel and accessing S3 through a VPC endpoint can secure data in transit within a VPC, it is not necessary for encrypting data in transit to S3. S3 can be accessed directly over the internet using SSL/TLS for encryption in transit, which is simpler and more cost-effective."", ""Set up Client-Side Encryption with an AWS KMS-Managed Customer Master Key."": ""Correct. Client-side encryption involves encrypting data before sending it to S3, ensuring that data is encrypted in transit. Using AWS KMS-Managed Customer Master Keys provides a secure way to manage encryption keys, aligning with AWS best practices for data protection."", ""Set up Server-Side Encryption with AWS KMS-Managed Keys."": ""Incorrect. Server-side encryption with AWS KMS-Managed Keys encrypts data at rest, not in transit. While it is a good practice for data protection, it does not address the requirement to encrypt data in transit."", ""Transfer the data over an SSL connection."": ""Correct. SSL/TLS is the standard protocol for encrypting data in transit over the internet. By using HTTPS, data is encrypted between the client and S3, fulfilling the requirement to encrypt data in transit."", ""Set up Server-Side Encryption with S3-Managed Keys."": ""Incorrect. Similar to server-side encryption with KMS-Managed Keys, this method encrypts data at rest, not in transit. It does not meet the requirement to encrypt data while it is being transmitted to S3.""}"
A Developer wants to encrypt new objects that are being uploaded to an Amazon S3 bucket by an application. There must be an audit trail of who has used the key during this process. There should be no change to the performance of the application. Which type of encryption meets these requirements?,"[""Server-side encryption using S3-managed keys."", ""Server-side encryption with AWS KMS-managed keys."", ""Client-side encryption with a client-side symmetric master key."", ""Client-side encryption with AWS KMS-managed keys.""]","[""Server-side encryption with AWS KMS-managed keys.""]","```json
{
    ""Server-side encryption using S3-managed keys."": ""This option is incorrect because while server-side encryption with S3-managed keys (SSE-S3) provides encryption at rest, it does not provide an audit trail of who used the key. SSE-S3 uses keys managed by Amazon S3 and does not integrate with AWS CloudTrail for auditing key usage."",
    ""Server-side encryption with AWS KMS-managed keys."": ""This option is correct because server-side encryption with AWS KMS-managed keys (SSE-KMS) provides encryption at rest and integrates with AWS CloudTrail to provide an audit trail of key usage. This allows tracking of who accessed the keys, which meets the requirement for an audit trail. Additionally, SSE-KMS is designed to have minimal impact on performance, aligning with the requirement of no performance change."",
    ""Client-side encryption with a client-side symmetric master key."": ""This option is incorrect because while client-side encryption provides control over encryption keys, it does not inherently provide an audit trail of key usage unless additional logging mechanisms are implemented by the client. Moreover, managing client-side encryption keys can add complexity and potential performance overhead, which does not align with the requirement of no performance change."",
    ""Client-side encryption with AWS KMS-managed keys."": ""This option is incorrect because although AWS KMS can be used for client-side encryption, it requires additional implementation effort to manage encryption and decryption processes on the client side. This can introduce performance overhead and complexity, which contradicts the requirement for no change in application performance. Additionally, while KMS can provide an audit trail, the client-side nature of this option makes it less straightforward compared to server-side solutions.""
}
```"
An application is being developed to audit several AWS accounts. The application will run in Account A and must access AWS services in Accounts B and C. What is the MOST secure way to allow the application to call AWS services in each audited account?,"[""Configure cross-account roles in each audited account. Write code in Account A that assumes those roles."", ""Use S3 cross-region replication to communicate among accounts, with Amazon S3 event notifications to trigger Lambda functions."", ""Deploy an application in each audited account with its own role. Have Account A authenticate with the application."", ""Create an IAM user with an access key in each audited account. Write code in Account A that uses those access keys.""]","[""Configure cross-account roles in each audited account. Write code in Account A that assumes those roles.""]","```json
{
    ""Configure cross-account roles in each audited account. Write code in Account A that assumes those roles."": ""This is the correct choice because using IAM roles for cross-account access is a best practice in AWS. It allows Account A to assume roles in Accounts B and C, providing temporary security credentials with the necessary permissions to access resources. This method is secure as it avoids the need to manage long-term credentials and allows for fine-grained access control. AWS documentation recommends using IAM roles for cross-account access as it minimizes the risk of credential leakage and simplifies permissions management."",
    ""Use S3 cross-region replication to communicate among accounts, with Amazon S3 event notifications to trigger Lambda functions."": ""This choice is incorrect because S3 cross-region replication is designed for replicating objects across different AWS regions and not for enabling cross-account access. While S3 event notifications can trigger Lambda functions, this setup does not inherently provide the necessary permissions or access control needed for auditing multiple accounts. This approach is not aligned with the requirement to securely access AWS services across accounts."",
    ""Deploy an application in each audited account with its own role. Have Account A authenticate with the application."": ""This choice is incorrect because it involves deploying separate applications in each account, which increases complexity and maintenance overhead. Additionally, having Account A authenticate with each application could require managing multiple authentication mechanisms, which is less secure and efficient compared to using cross-account roles. This approach does not leverage AWS's built-in cross-account access capabilities."",
    ""Create an IAM user with an access key in each audited account. Write code in Account A that uses those access keys."": ""This choice is incorrect because creating IAM users with access keys in each account is not a secure practice. It involves managing long-term credentials, which increases the risk of credential leakage and requires additional effort to rotate and manage these keys. AWS best practices recommend avoiding the use of long-term credentials and instead using IAM roles with temporary credentials for cross-account access.""
}
```"
"A company uses a third-party tool to build, bundle, and package rts applications on-premises and store them locally. The company uses Amazon EC2 instances to run its front-end applications. How can an application be deployed from the source control system onto the EC2 instances?","[""Use AWS CodeDeploy and point it to the local storage to directly deploy a bundle m a zip. tar. or tar.gz format."", ""Upload the bundle to an Amazon S3 bucket and specify the S3 location when doing a deployment using AWS CodeDeploy."", ""Create a repository using AWS CodeCommit to automatically trigger a deployment to the EC2 instances."", ""Use AWS CodeBuild to automatically deploy the latest build to the latest EC2 instances.""]","[""Upload the bundle to an Amazon S3 bucket and specify the S3 location when doing a deployment using AWS CodeDeploy.""]","```json
{
    ""Use AWS CodeDeploy and point it to the local storage to directly deploy a bundle m a zip. tar. or tar.gz format."": ""This choice is incorrect because AWS CodeDeploy does not support deploying directly from local storage. CodeDeploy requires the application bundle to be stored in an Amazon S3 bucket, a GitHub repository, or an AWS CodeCommit repository. This ensures that the deployment package is accessible to the CodeDeploy service in a scalable and reliable manner."",
    ""Upload the bundle to an Amazon S3 bucket and specify the S3 location when doing a deployment using AWS CodeDeploy."": ""This choice is correct because AWS CodeDeploy can deploy applications from an Amazon S3 bucket. By uploading the application bundle to S3, you ensure that it is stored in a highly available and durable manner. During deployment, you specify the S3 location, and CodeDeploy retrieves the bundle from there to deploy it onto the EC2 instances. This method aligns with AWS best practices for application deployment."",
    ""Create a repository using AWS CodeCommit to automatically trigger a deployment to the EC2 instances."": ""This choice is incorrect because simply creating a repository in AWS CodeCommit does not automatically trigger a deployment. While CodeCommit can be used as a source for CodeDeploy, additional configuration is required to set up triggers or pipelines that initiate deployments. Furthermore, the scenario describes using a third-party tool for building and bundling, which implies that the source is not natively in CodeCommit."",
    ""Use AWS CodeBuild to automatically deploy the latest build to the latest EC2 instances."": ""This choice is incorrect because AWS CodeBuild is primarily used for building and testing code, not for deployment. While CodeBuild can be part of a CI/CD pipeline that includes deployment, it does not directly deploy applications to EC2 instances. CodeDeploy or other deployment services are typically used for the deployment phase.""
}
```"
A company is building a compute-intensive application that will run on a fleet of Amazon EC2 instances. The application uses attached Amazon EBS disks for storing data. The application will process sensitive information and all the data must be encrypted. What should a developer do to ensure the data is encrypted on disk without impacting performance?,"[""Configure the Amazon EC2 instance fleet to use encrypted EBS volumes for storing data."", ""Add logic to write all data to an encrypted Amazon S3 bucket."", ""Add a custom encryption algorithm to the application that will encrypt and decrypt all data."", ""Create a new Amazon Machine Image (AMI) with an encrypted root volume and store the data to ephemeral disks.""]","[""Configure the Amazon EC2 instance fleet to use encrypted EBS volumes for storing data.""]","```json
{
    ""Configure the Amazon EC2 instance fleet to use encrypted EBS volumes for storing data."": ""This choice is correct because Amazon EBS provides the ability to create encrypted volumes that protect data at rest using AWS Key Management Service (KMS). Encrypted EBS volumes offer seamless encryption of data without impacting performance, as the encryption and decryption processes are handled by AWS. This is a best practice for handling sensitive information on EC2 instances, ensuring data is encrypted on disk with minimal impact on application performance."",
    ""Add logic to write all data to an encrypted Amazon S3 bucket."": ""This choice is incorrect because while Amazon S3 provides server-side encryption for data at rest, it is not suitable for applications that require high-performance local storage like EBS volumes. Writing data to S3 would introduce additional latency and complexity, as the application would need to handle data transfer between EBS and S3, which is not optimal for compute-intensive applications requiring fast disk access."",
    ""Add a custom encryption algorithm to the application that will encrypt and decrypt all data."": ""This choice is incorrect because implementing a custom encryption algorithm can be error-prone and may lead to security vulnerabilities if not done correctly. Additionally, it would increase the complexity of the application and could negatively impact performance. AWS provides built-in encryption mechanisms like EBS encryption that are optimized for performance and security, making custom encryption unnecessary."",
    ""Create a new Amazon Machine Image (AMI) with an encrypted root volume and store the data to ephemeral disks."": ""This choice is incorrect because ephemeral disks, also known as instance store volumes, are not persistent and data is lost when the instance is stopped or terminated. While you can create an AMI with an encrypted root volume, using ephemeral storage for sensitive data is not recommended due to its non-persistent nature. EBS volumes are a better choice for storing sensitive data as they are persistent and can be encrypted easily.""
}
```"
"A global company has an application running on Amazon EC2 instances that serves image files from Amazon S3. User requests from the browser are causing high traffic, which results in degraded performance. Which optimization solution should a Developer implement to increase application performance?","[""Create multiple prefix in the S3 bucket to increase the request rate."", ""Create an Amazon ElastiCache cluster to cache and serve frequently accessed items."", ""Use Amazon CloudFront to serve the content of images stored in Amazon S3."", ""Submit a ticket to AWS support to request a rate limit increase for the S3 bucket.""]","[""Use Amazon CloudFront to serve the content of images stored in Amazon S3.""]","{""Create multiple prefix in the S3 bucket to increase the request rate."": ""This choice is incorrect because while using multiple prefixes in an S3 bucket can help distribute the load and increase the request rate, it does not address the issue of serving content efficiently to users globally. The problem described involves high traffic and degraded performance, which is better addressed by a content delivery network like CloudFront."", ""Create an Amazon ElastiCache cluster to cache and serve frequently accessed items."": ""This choice is incorrect because ElastiCache is primarily used for caching database queries or computational results to reduce load on databases and improve application performance. It is not typically used for serving static content like images from S3. The issue here is about serving static content efficiently, which is better solved by using a CDN like CloudFront."", ""Use Amazon CloudFront to serve the content of images stored in Amazon S3."": ""This choice is correct because Amazon CloudFront is a content delivery network (CDN) that caches copies of your content close to users at edge locations around the world. This reduces latency and improves performance for users accessing static content like images stored in S3. CloudFront is designed to handle high traffic and provide faster content delivery, which directly addresses the problem of degraded performance due to high traffic."", ""Submit a ticket to AWS support to request a rate limit increase for the S3 bucket."": ""This choice is incorrect because while increasing the rate limit might temporarily alleviate some issues, it does not fundamentally solve the problem of efficiently serving content to a global audience. The use of a CDN like CloudFront is a more scalable and effective solution for improving performance and reducing latency for users worldwide.""}"
